appid,positive_ratings,negative_ratings
205710,598,2191
205730,547,831
205810,112,751
205830,196,181
205840,551,1131
205870,202,461
205910,3483,3091
205950,3398,6311
205990,558,2881
206020,55,101
206040,17,41
206060,36,21
206190,10384,2711
206210,9269,17731
206230,31,221
206250,78,271
206370,544,571
206410,18,61
206420,54091,49451
206440,42115,14231
206480,1718,6961
206500,7640,14401
206610,117,1961
206690,421,841
207000,82,541
207020,317,821
207080,1536,1261
207140,20854,14551
207170,4420,2681
207190,72,691
207230,5642,20861
207250,347,1341
207320,936,571
207350,1811,911
207370,204,2151
207380,193,291
207400,489,411
207420,538,2241
207430,337,3321
207490,1509,1141
207530,469,281
207570,278,611
207650,379,3051
207670,28,341
207690,3524,1361
207710,25,151
207730,128,2561
207750,1159,2091
207790,102,2291
207930,645,2871
208110,57,401
208140,5708,14171
208200,3957,7721
208400,658,551
208460,10,361
208500,1447,1761
208520,1029,6321
208580,8047,9781
208600,465,951
208620,59,321
208630,60,151
208640,53,41
208650,33121,129811
208670,1363,3331
208710,23,101
208730,1407,5871
208750,2239,2401
209000,20365,35191
209060,524,991
209080,12932,12761
209100,1171,10791
209120,858,6971
209160,14892,107571
209190,783,931
209230,194,411
209330,272,1861
209360,43,141
209370,1881,1281
209390,15,521
209520,411,2241
209540,1211,3391
209610,61,491
209630,251,501
209650,13389,83791
209670,3119,14541
209690,124,791
209730,288,3121
209750,57,561
209790,470,611
209830,1019,1531
209850,33,201
209950,559,501
210170,152,611
210230,19,21
210770,11629,12731
210870,174,171
210950,541,501
210970,6572,12821
211010,200,461
211160,856,10131
211180,371,281
211260,1965,3271
211280,172,1201
211340,800,961
211360,449,901
211400,8981,22981
211440,955,1491
211500,5204,35711
211580,249,2291
211600,1649,1481
211740,845,511
211780,376,931
211800,91,281
211820,74162,78161
211900,236,531
211970,144,1081
212010,1046,3821
212030,803,2111
212050,353,301
212070,8647,27961
212110,145,481
212160,3646,14601
212390,892,3341
212500,6860,16441
212630,2178,11531
212680,42641,16291
212700,98,891
212780,190,1051
